Signal Legend:

Key        Signal Name

0        = GUI:GUI_Inst|CH1_Offset[0..8]
1        = GUI:GUI_Inst|Update_Signal_CLK
2        = GUI:GUI_Inst|Updating_Signal_Counter[0..19]
3        = GUI:GUI_Inst|CH1_Result[0..11]

Data Table:

Signals-> 0   1 2      3   

sample

-529      201 1 886313 247 
-528      201 1 886313 246 
-527      201 1 886313 246 
-526      201 1 886313 246 
-525      201 1 886313 245 
-524      201 1 886313 245 
-523      201 1 886313 244 
-522      201 1 886313 244 
-521      201 1 886313 244 
-520      201 1 886313 243 
-519      201 1 886313 243 
-518      201 1 886313 243 
-517      201 1 886313 242 
-516      201 1 886313 242 
-515      201 1 886313 241 
-514      201 1 886313 241 
-513      201 1 886313 241 
-512      201 1 886313 240 
-511      201 1 886313 240 
-510      201 1 886313 240 
-509      201 1 886313 239 
-508      201 1 886313 239 
-507      201 1 886313 238 
-506      201 1 886313 238 
-505      201 1 886313 238 
-504      201 1 886313 237 
-503      201 1 886313 237 
-502      201 1 886313 237 
-501      201 1 886313 236 
-500      201 1 886313 236 
-499      201 1 886313 235 
-498      201 1 886313 235 
-497      201 1 886313 235 
-496      201 1 886313 234 
-495      201 1 886313 234 
-494      201 1 886313 233 
-493      201 1 886313 233 
-492      201 1 886313 233 
-491      201 1 886313 232 
-490      201 1 886313 232 
-489      201 1 886313 231 
-488      201 1 886313 231 
-487      201 1 886313 231 
-486      201 1 886313 230 
-485      201 1 886313 230 
-484      201 1 886313 230 
-483      201 1 886313 229 
-482      201 1 886313 229 
-481      201 1 886313 228 
-480      201 1 886313 228 
-479      201 1 886313 228 
-478      201 1 886313 227 
-477      201 1 886313 227 
-476      201 1 886313 226 
-475      201 1 886313 226 
-474      201 1 886313 226 
-473      201 1 886313 225 
-472      201 1 886313 225 
-471      201 1 886313 225 
-470      201 1 886313 224 
-469      201 1 886313 224 
-468      201 1 886313 223 
-467      201 1 886313 223 
-466      201 1 886313 223 
-465      201 1 886313 222 
-464      201 1 886313 222 
-463      201 1 886313 222 
-462      201 1 886313 221 
-461      201 1 886313 221 
-460      201 1 886313 220 
-459      201 1 886313 220 
-458      201 1 886313 220 
-457      201 1 886313 219 
-456      201 1 886313 219 
-455      201 1 886313 219 
-454      201 1 886313 218 
-453      201 1 886313 218 
-452      201 1 886313 218 
-451      201 1 886313 217 
-450      201 1 886313 217 
-449      201 1 886313 217 
-448      201 1 886313 216 
-447      201 1 886313 216 
-446      201 1 886313 216 
-445      201 1 886313 215 
-444      201 1 886313 215 
-443      201 1 886313 215 
-442      201 1 886313 214 
-441      201 1 886313 214 
-440      201 1 886313 214 
-439      201 1 886313 213 
-438      201 1 886313 213 
-437      201 1 886313 213 
-436      201 1 886313 212 
-435      201 1 886313 212 
-434      201 1 886313 212 
-433      201 1 886313 212 
-432      201 1 886313 211 
-431      201 1 886313 211 
-430      201 1 886313 211 
-429      201 1 886313 210 
-428      201 1 886313 210 
-427      201 1 886313 210 
-426      201 1 886313 210 
-425      201 1 886313 209 
-424      201 1 886313 209 
-423      201 1 886313 209 
-422      201 1 886313 209 
-421      201 1 886313 208 
-420      201 1 886313 208 
-419      201 1 886313 208 
-418      201 1 886313 208 
-417      201 1 886313 207 
-416      201 1 886313 207 
-415      201 1 886313 207 
-414      201 1 886313 207 
-413      201 1 886313 206 
-412      201 1 886313 206 
-411      201 1 886313 206 
-410      201 1 886313 206 
-409      201 1 886313 205 
-408      201 1 886313 205 
-407      201 1 886313 205 
-406      201 1 886313 205 
-405      201 1 886313 205 
-404      201 1 886313 204 
-403      201 1 886313 204 
-402      201 1 886313 204 
-401      201 1 886313 204 
-400      201 1 886313 204 
-399      201 1 886313 204 
-398      201 1 886313 203 
-397      201 1 886313 203 
-396      201 1 886313 203 
-395      201 1 886313 203 
-394      201 1 886313 203 
-393      201 1 886313 203 
-392      201 1 886313 203 
-391      201 1 886313 202 
-390      201 1 886313 202 
-389      201 1 886313 202 
-388      201 1 886313 202 
-387      201 1 886313 202 
-386      201 1 886313 202 
-385      201 1 886313 202 
-384      201 1 886313 202 
-383      201 1 886313 201 
-382      201 1 886313 201 
-381      201 1 886313 201 
-380      201 1 886313 201 
-379      201 1 886313 201 
-378      201 1 886313 201 
-377      201 1 886313 201 
-376      201 1 886313 201 
-375      201 1 886313 201 
-374      201 1 886313 201 
-373      201 1 886313 201 
-372      201 1 886313 201 
-371      201 1 886313 201 
-370      201 1 886313 201 
-369      201 1 886313 201 
-368      201 1 886313 201 
-367      201 1 886313 201 
-366      201 1 886313 201 
-365      201 1 886313 201 
-364      201 1 886313 201 
-363      201 1 886313 201 
-362      201 1 886313 201 
-361      201 1 886313 201 
-360      201 1 886313 201 
-359      201 1 886313 201 
-358      201 1 886313 201 
-357      201 1 886313 201 
-356      201 1 886313 201 
-355      201 1 886313 201 
-354      201 1 886313 201 
-353      201 1 886313 201 
-352      201 1 886313 201 
-351      201 1 886313 201 
-350      201 1 886313 201 
-349      201 1 886313 201 
-348      201 1 886313 201 
-347      201 1 886313 201 
-346      201 1 886313 201 
-345      201 1 886313 201 
-344      201 1 886313 201 
-343      201 1 886313 201 
-342      201 1 886313 202 
-341      201 1 886313 202 
-340      201 1 886313 202 
-339      201 1 886313 202 
-338      201 1 886313 202 
-337      201 1 886313 202 
-336      201 1 886313 202 
-335      201 1 886313 202 
-334      201 1 886313 202 
-333      201 1 886313 203 
-332      201 1 886313 203 
-331      201 1 886313 203 
-330      201 1 886313 203 
-329      201 1 886313 203 
-328      201 1 886313 203 
-327      201 1 886313 203 
-326      201 1 886313 204 
-325      201 1 886313 204 
-324      201 1 886313 204 
-323      201 1 886313 204 
-322      201 1 886313 204 
-321      201 1 886313 205 
-320      201 1 886313 205 
-319      201 1 886313 205 
-318      201 1 886313 205 
-317      201 1 886313 205 
-316      201 1 886313 206 
-315      201 1 886313 206 
-314      201 1 886313 206 
-313      201 1 886313 206 
-312      201 1 886313 206 
-311      201 1 886313 207 
-310      201 1 886313 207 
-309      201 1 886313 207 
-308      201 1 886313 207 
-307      201 1 886313 208 
-306      201 1 886313 208 
-305      201 1 886313 208 
-304      201 1 886313 208 
-303      201 1 886313 209 
-302      201 1 886313 209 
-301      201 1 886313 209 
-300      201 1 886313 209 
-299      201 1 886313 210 
-298      201 1 886313 210 
-297      201 1 886313 210 
-296      201 1 886313 210 
-295      201 1 886313 211 
-294      201 1 886313 211 
-293      201 1 886313 211 
-292      201 1 886313 212 
-291      201 1 886313 212 
-290      201 1 886313 212 
-289      201 1 886313 213 
-288      201 1 886313 213 
-287      201 1 886313 213 
-286      201 1 886313 213 
-285      201 1 886313 214 
-284      201 1 886313 214 
-283      201 1 886313 214 
-282      201 1 886313 215 
-281      201 1 886313 215 
-280      201 1 886313 215 
-279      201 1 886313 216 
-278      201 1 886313 216 
-277      201 1 886313 216 
-276      201 1 886313 217 
-275      201 1 886313 217 
-274      201 1 886313 217 
-273      201 1 886313 218 
-272      201 1 886313 218 
-271      201 1 886313 218 
-270      201 1 886313 219 
-269      201 1 886313 219 
-268      201 1 886313 220 
-267      201 1 886313 220 
-266      201 1 886313 220 
-265      201 1 886313 221 
-264      201 1 886313 221 
-263      201 1 886313 221 
-262      201 1 886313 222 
-261      201 1 886313 222 
-260      201 1 886313 222 
-259      201 1 886313 223 
-258      201 1 886313 223 
-257      201 1 886313 224 
-256      201 1 886313 224 
-255      201 1 886313 224 
-254      201 1 886313 225 
-253      201 1 886313 225 
